id,date,type,setup,punchline
157,2021-05-22 16:22:15,general,What are the strongest days of the week?,Saturday and Sunday...the rest are weekdays.
103,2021-05-22 16:22:15,general,Did you know crocodiles could grow up to 15 feet?,But most just have 4.
113,2021-05-22 16:22:15,general,Have you heard the rumor going around about butter?,"Never mind, I shouldn't spread it."
